ID,CURR_AGE,GENDER,ANN_INCOME,DT_MAINT
20710B05XL,54,M,1425390,2018-04-20
89602T51HX,47,M,1678954,2018-06-08
70190Z52IP,60,M,931624,2017-07-31
25623V15MU,55,F,1106320,2017-07-31
36230I68CE,32,F,748465,2019-01-27
11264G01HZ,48,F,1051927,2018-11-24
74250S23UO,26,F,1076402,2018-09-22
26735J66DB,45,F,1481949,2018-04-05
93404P60ED,55,M,1725607,2018-01-02
56557A36QV,64,F,312323,2018-04-23
38353F50LZ,53,M,546574,2019-06-05
54684T21RX,44,F,1203691,2017-07-12
46929E04HS,59,F,724688,2019-06-22
20647X82EQ,27,F,975130,2019-03-05
34956P25RT,57,F,1422399,2019-04-14
07090V20JQ,40,F,1558045,2018-02-06
78392T89DQ,33,M,669737,2019-05-31
07257K04CB,57,F,774593,2018-12-31
65658K80PS,59,F,993201,2019-03-05
69803K32CS,42,F,1050793,2016-10-21
49525O29YH,40,M,1598014,2018-03-18
25740R14MI,63,M,776801,2017-07-25
84250L43IB,47,F,1435495,2018-04-05
84258G83EV,28,F,787934,2018-10-20
53254B39QD,55,F,1867421,2019-04-05
97021A36QC,40,F,1005643,2019-06-24
47560Z98KV,44,F,1334503,2018-04-18
73529T58NE,64,M,342644,2018-05-24
30806A42VM,44,F,1227876,2019-04-02
00049S85RE,43,F,1370374,2019-05-11
26721D43SM,39,M,1381129,2017-02-26
82508W18LT,29,F,1141044,2019-06-09
80438M73AV,63,M,861120,2019-04-14
67814A83LG,51,M,1078531,2018-06-09
87070V97ZO,33,F,886139,2018-05-24
79093X41WL,45,F,881137,2019-05-27
80170A41DA,58,M,1807736,2018-09-09
92814K57MF,35,M,1010476,2017-05-15
67811V23ZL,63,F,913006,2017-10-22
49928Y38OE,62,F,916758,2017-02-10
60766Z46OD,61,F,1428077,2018-08-12
65221A93PY,54,M,854720,2018-07-22
67305F19BO,47,M,1005454,2018-04-17
11497L25KD,56,F,879059,2019-03-27
06436U96WN,33,F,703621,2018-10-05
00974O72DZ,59,F,742484,2019-02-26
09160K49TY,52,F,1920738,2019-03-31
75377M96JT,43,F,1406605,2018-05-05
50391O52JL,27,F,910269,2019-06-04
75750M01TD,40,M,1214651,2018-03-17
54602F44RW,62,F,1673206,2018-02-05
91724K12PZ,55,M,529060,2017-08-26
38941M59JI,56,F,1705657,2019-04-01
17962B28AZ,62,F,1593162,2019-04-04
05397B07CK,54,F,1437312,2018-09-21
86848B08CQ,62,F,1611444,2018-07-01
22906W78AL,60,M,1283300,2018-12-01
45389F82KX,38,F,1465158,2019-01-13
68241U65JO,58,M,1821776,2018-04-08
43891X14RC,59,M,1846298,2018-12-03
34587D00DA,58,M,1144551,2019-01-08
88616I11UH,36,F,1024701,2019-04-01
49122J54NF,29,M,979350,2018-06-09
61385H03VO,50,M,1661522,2018-11-24
58936R14SF,65,F,802717,2018-10-21
86220V54VN,49,F,1478918,2018-08-10
63676E09UO,25,F,1029303,2017-08-11
75890J70NO,64,F,1868972,2018-08-10
68606C11GV,56,M,1744071,2018-12-17
56034R95VA,48,M,1608586,2018-09-29
68007O74VG,53,M,626963,2018-05-01
72851J39QG,35,M,793369,2018-06-11
67768Z35EO,60,F,493015,2018-09-28
82032Y17OQ,53,M,921829,2018-07-04
25932M56LL,58,F,1071450,2018-08-06
77296E81ZM,48,M,1677550,2019-02-20
00749K03FQ,46,M,1421375,2016-12-02
92419C68FB,65,F,665345,2019-06-28
21589V78WG,56,M,535036,2018-08-13
75360O80DW,39,M,1579580,2018-09-12
21179R01JX,47,M,1318882,2018-11-09
78827Q35LL,49,F,826528,2018-04-16
93058B29OA,33,M,1250052,2018-06-08
57288I36BN,28,F,718407,2019-05-27
24427C44HL,60,M,1099822,2019-01-30
57769A43WJ,50,M,1444567,2018-03-10
55244P21JL,45,F,1383743,2018-03-12
10878C69QP,60,F,1274520,2018-10-01
00100T87PV,50,F,1555386,2018-02-07
10657V33HY,36,M,1779657,2017-01-04
35568Z72YA,46,F,1568521,2018-07-02
76439P77YY,28,M,1220202,2018-10-27
05814Y15VO,37,F,843116,2018-06-01
96427W84TS,29,F,1011093,2019-06-14
95829F20IU,54,F,1751467,2018-09-22
