ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,PURCHASE
00001Q15YJ,50,M,445344,439,0
00003I71CQ,35,M,107634,283,0
00003N47FS,59,F,502787,390,1
00005H41DE,43,M,585664,475,0
00007E17UM,39,F,705723,497,1
00007I26OR,28,F,389995,443,1
00015B11UO,54,M,85056,425,0
00020K99TA,28,F,453584,173,0
00020W72QC,25,F,324575,300,0
00022F48XA,47,M,363206,474,1
00026X43XZ,61,M,292983,210,0
00031Q27QZ,33,F,438941,100,1
00032B38ZX,50,M,478445,329,1
00033C02IM,25,M,277729,430,1
00034P01OK,45,M,385604,492,1
00038B31VO,51,F,159413,585,1
00039X03RX,25,M,227439,23,0
00040B49KN,43,M,572440,356,0
00040O73KD,35,M,240251,536,1
00045U73GK,58,F,205192,876,1
00049M22HG,35,M,108590,400,0
00052E59WH,53,F,436709,510,1
00056R56IH,53,F,370768,96,0
00057N31MO,30,F,396397,285,1
00059Q04KC,49,F,458992,265,0
00061K54RB,43,M,485917,273,1
00062R49DY,37,M,361216,243,0
00067S81IY,26,F,341240,377,0
00069Q75MB,35,F,277725,106,0
00069R58QN,51,M,607229,485,0
00070L09VD,40,M,328247,336,0
00073G60ML,64,F,358005,426,1
00074E80ZM,59,M,450981,258,1
00078B50YA,34,F,216371,231,0
00083A72KE,50,F,730685,406,1
00085N14CA,34,M,146852,357,0
00086Y65GU,65,F,420083,666,0
00088T31UB,51,F,131949,783,1
00090Q78CZ,62,F,136267,390,0
00091B82ZO,65,F,409160,228,1
00093J67SK,52,M,256962,139,0
00095Q17AL,25,F,365515,236,0
00099K86CW,62,M,682251,344,0
00101P10AC,47,M,184303,385,1
00104R23KJ,41,F,366200,370,1
00105P34KP,39,M,793683,943,1
00105Z55XB,28,F,134835,313,0
00107Y54OB,27,M,192229,805,1
00108X61TB,29,M,218007,431,1
00111A34ML,42,M,442952,213,0
00113N53ZL,59,M,669568,276,1
00115C31GT,25,F,387785,477,1
00118J08EC,47,F,275520,304,0
00122X31AB,58,F,401832,225,0
00124L11WJ,50,M,576933,132,1
00126P38RZ,59,M,396243,95,1
00127P24GO,37,M,234791,277,1
00129H75QI,58,F,311133,430,1
00130C94GP,33,M,296322,220,0
00137X41CD,49,M,363144,388,1
00139F51QE,46,M,315221,263,1
00140V89YT,36,M,779277,489,1
00141I56XV,40,F,292216,205,0
00142J61TJ,37,F,453501,95,0
