ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,PURCHASE,AGE_CAR_SEGMENT,Predicted_Purchase,Purchase_Probability,Purchase_Probability_Percent,Potential_Customer
82271W27NG,36,M,799568,732,1,Segement 4,1,0.9501855082966826,95.02,Yes
37528M42ID,36,M,797565,549,1,Segement 4,1,0.949950720236524,95.0,Yes
66612F65MI,36,M,793376,998,1,Segement 4,1,0.9494563004243425,94.95,Yes
47192Q63YS,37,M,797363,516,1,Segement 4,1,0.9492767643304632,94.93,Yes
18666P34ML,36,M,787893,649,1,Segement 4,1,0.9488021625113393,94.88,Yes
30512R26FW,36,M,783739,625,1,Segement 4,1,0.9483012541111433,94.83,Yes
00105P34KP,39,M,793683,943,1,Segement 4,1,0.9475018056996454,94.75,Yes
53567K12AV,38,M,787917,785,1,Segement 4,1,0.9474689215297175,94.75,Yes
48715H37RZ,36,M,776301,895,1,Segement 4,1,0.9473927510704834,94.74,Yes
04710E12EC,38,M,787227,797,1,Segement 4,1,0.9473839986252408,94.74,Yes
61565J82TC,39,M,792664,912,1,Segement 4,1,0.9473764191081241,94.74,Yes
87919F64YN,39,M,791637,748,1,Segement 4,1,0.9472497619858794,94.72,Yes
08374O13ZZ,36,M,771251,702,1,Segement 4,1,0.9467673540730044,94.68,Yes
01820B40AR,40,M,793107,862,1,Segement 4,1,0.9467501496757745,94.68,Yes
64600U36OU,41,M,797437,612,1,Segement 4,1,0.9466043965178292,94.66,Yes
56891K13OH,37,M,773627,990,1,Segement 4,1,0.9463771526181576,94.64,Yes
49785Q57XL,38,M,778920,633,1,Segement 4,1,0.94635137419676,94.64,Yes
59414E44IP,40,M,788891,908,0,Segement 4,1,0.9462225075369526,94.62,Yes
54504K22JU,37,M,771941,560,1,Segement 4,1,0.946165344530556,94.62,Yes
47813Y65PV,41,M,793139,747,1,Segement 4,1,0.9460650545807281,94.61,Yes
59226Z85GF,36,M,765237,972,1,Segement 4,1,0.9460134210882629,94.6,Yes
04446W36XJ,37,M,770261,751,0,Segement 4,1,0.9459535055637887,94.6,Yes
99983O55TO,38,M,775128,893,1,Segement 4,1,0.9458736696278656,94.59,Yes
81060S94VX,38,M,774779,668,1,Segement 4,1,0.945829502694291,94.58,Yes
47317Z98JZ,39,M,780149,885,1,Segement 4,1,0.9458132279771904,94.58,Yes
51081D37VL,36,M,762853,939,1,Segement 4,1,0.9457117777429452,94.57,Yes
71244F62VH,36,M,762280,697,1,Segement 4,1,0.945639040601643,94.56,Yes
63485U06JK,42,M,794768,707,1,Segement 4,1,0.9455750887819008,94.56,Yes
59207I44AX,38,M,772147,835,0,Segement 4,1,0.9454953198220185,94.55,Yes
89429E76WL,43,M,799139,927,1,Segement 4,1,0.9454315315284022,94.54,Yes
15323K49VW,42,M,793344,747,1,Segement 4,1,0.9453937261429731,94.54,Yes
06493Q71GE,39,M,774315,931,1,Segement 4,1,0.945069659997854,94.51,Yes
71270Q97GZ,39,M,773213,676,1,Segement 4,1,0.9449281304269742,94.49,Yes
69918V32QV,40,M,778307,557,1,Segement 4,1,0.9448760903000694,94.49,Yes
46827Z52UF,39,M,772624,517,1,Segement 4,1,0.9448523445571606,94.49,Yes
78934V39VP,40,M,777949,809,1,Segement 4,1,0.9448299976240508,94.48,Yes
09559P36RC,36,M,755603,901,1,Segement 4,1,0.9447846588589192,94.48,Yes
12329B01XL,37,M,755947,1007,1,Segement 4,1,0.9441164590147025,94.41,Yes
13957G74QE,37,M,752893,845,1,Segement 4,1,0.9437169767468571,94.37,Yes
13917S52HL,42,M,778525,725,1,Segement 4,1,0.9434722755553016,94.35,Yes
