ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,AGE_CAR_SEGMENT,Purchase_Probability_Percent
82271W27NG,36,M,799568,732,Segement 4,95.02
37528M42ID,36,M,797565,549,Segement 4,95.0
66612F65MI,36,M,793376,998,Segement 4,94.95
47192Q63YS,37,M,797363,516,Segement 4,94.93
18666P34ML,36,M,787893,649,Segement 4,94.88
30512R26FW,36,M,783739,625,Segement 4,94.83
00105P34KP,39,M,793683,943,Segement 4,94.75
53567K12AV,38,M,787917,785,Segement 4,94.75
48715H37RZ,36,M,776301,895,Segement 4,94.74
04710E12EC,38,M,787227,797,Segement 4,94.74
